,GDP,TENYR
2020-05-10,19935.444,0.62
2020-05-11,19935.444,0.62
2020-05-12,19935.444,0.62
2020-05-13,19935.444,0.62
2020-05-14,19935.444,0.62
2020-05-15,19935.444,0.62
2020-05-16,19935.444,0.62
2020-05-17,19935.444,0.62
2020-05-18,19935.444,0.62
2020-05-19,19935.444,0.62
2020-05-20,19935.444,0.62
2020-05-21,19935.444,0.62
2020-05-22,19935.444,0.62
2020-05-23,19935.444,0.62
2020-05-24,19935.444,0.62
2020-05-25,19935.444,0.62
2020-05-26,19935.444,0.62
2020-05-27,19935.444,0.62
2020-05-28,19935.444,0.62
2020-05-29,19935.444,0.62
2020-05-30,19935.444,0.62
2020-05-31,19935.444,0.62
2020-06-01,19935.444,0.62
2020-06-02,19935.444,0.62
2020-06-03,19935.444,0.62
2020-06-04,19935.444,0.62
2020-06-05,19935.444,0.62
2020-06-06,19935.444,0.62
2020-06-07,19935.444,0.62
2020-06-08,19935.444,0.62
2020-06-09,19935.444,0.62
2020-06-10,19935.444,0.62
2020-06-11,19935.444,0.62
2020-06-12,19935.444,0.62
2020-06-13,19935.444,0.62
2020-06-14,19935.444,0.62
2020-06-15,19935.444,0.62
2020-06-16,19935.444,0.62
2020-06-17,19935.444,0.62
2020-06-18,19935.444,0.62
2020-06-19,19935.444,0.62
2020-06-20,19935.444,0.62
2020-06-21,19935.444,0.62
2020-06-22,19935.444,0.62
2020-06-23,19935.444,0.62
2020-06-24,19935.444,0.62
2020-06-25,19935.444,0.62
2020-06-26,19935.444,0.62
2020-06-27,19935.444,0.62
2020-06-28,19935.444,0.62
2020-06-29,19935.444,0.62
2020-06-30,19935.444,0.62
2020-07-01,21684.551,0.69
2020-07-02,21684.551,0.69
2020-07-03,21684.551,0.69
2020-07-04,21684.551,0.69
2020-07-05,21684.551,0.69
2020-07-06,21684.551,0.69
2020-07-07,21684.551,0.69
2020-07-08,21684.551,0.69
2020-07-09,21684.551,0.69
2020-07-10,21684.551,0.69
2020-07-11,21684.551,0.69
2020-07-12,21684.551,0.69
2020-07-13,21684.551,0.69
2020-07-14,21684.551,0.69
2020-07-15,21684.551,0.69
2020-07-16,21684.551,0.69
2020-07-17,21684.551,0.69
2020-07-18,21684.551,0.69
2020-07-19,21684.551,0.69
2020-07-20,21684.551,0.69
2020-07-21,21684.551,0.69
2020-07-22,21684.551,0.69
2020-07-23,21684.551,0.69
2020-07-24,21684.551,0.69
2020-07-25,21684.551,0.69
2020-07-26,21684.551,0.69
2020-07-27,21684.551,0.69
2020-07-28,21684.551,0.69
2020-07-29,21684.551,0.69
2020-07-30,21684.551,0.69
2020-07-31,21684.551,0.69
2020-08-01,21684.551,0.69
2020-08-02,21684.551,0.69
2020-08-03,21684.551,0.69
2020-08-04,21684.551,0.69
2020-08-05,21684.551,0.69
2020-08-06,21684.551,0.69
2020-08-07,21684.551,0.69
2020-08-08,21684.551,0.69
2020-08-09,21684.551,0.69
2020-08-10,21684.551,0.69
2020-08-11,21684.551,0.69
2020-08-12,21684.551,0.69
2020-08-13,21684.551,0.69
2020-08-14,21684.551,0.69
2020-08-15,21684.551,0.69
2020-08-16,21684.551,0.69
2020-08-17,21684.551,0.69
2020-08-18,21684.551,0.69
2020-08-19,21684.551,0.69
2020-08-20,21684.551,0.69
2020-08-21,21684.551,0.69
2020-08-22,21684.551,0.69
2020-08-23,21684.551,0.69
2020-08-24,21684.551,0.69
2020-08-25,21684.551,0.69
2020-08-26,21684.551,0.69
2020-08-27,21684.551,0.69
2020-08-28,21684.551,0.69
2020-08-29,21684.551,0.69
2020-08-30,21684.551,0.69
2020-08-31,21684.551,0.69
2020-09-01,21684.551,0.69
2020-09-02,21684.551,0.69
2020-09-03,21684.551,0.69
2020-09-04,21684.551,0.69
2020-09-05,21684.551,0.69
2020-09-06,21684.551,0.69
2020-09-07,21684.551,0.69
2020-09-08,21684.551,0.69
2020-09-09,21684.551,0.69
2020-09-10,21684.551,0.69
2020-09-11,21684.551,0.69
2020-09-12,21684.551,0.69
2020-09-13,21684.551,0.69
2020-09-14,21684.551,0.69
2020-09-15,21684.551,0.69
2020-09-16,21684.551,0.69
2020-09-17,21684.551,0.69
2020-09-18,21684.551,0.69
2020-09-19,21684.551,0.69
2020-09-20,21684.551,0.69
2020-09-21,21684.551,0.69
2020-09-22,21684.551,0.69
2020-09-23,21684.551,0.69
2020-09-24,21684.551,0.69
2020-09-25,21684.551,0.69
2020-09-26,21684.551,0.69
2020-09-27,21684.551,0.69
2020-09-28,21684.551,0.69
2020-09-29,21684.551,0.69
2020-09-30,21684.551,0.69
2020-10-01,22068.767,0.68
2020-10-02,22068.767,0.68
2020-10-03,22068.767,0.68
2020-10-04,22068.767,0.68
2020-10-05,22068.767,0.68
2020-10-06,22068.767,0.68
2020-10-07,22068.767,0.68
2020-10-08,22068.767,0.68
2020-10-09,22068.767,0.68
2020-10-10,22068.767,0.68
2020-10-11,22068.767,0.68
2020-10-12,22068.767,0.68
2020-10-13,22068.767,0.68
2020-10-14,22068.767,0.68
2020-10-15,22068.767,0.68
2020-10-16,22068.767,0.68
2020-10-17,22068.767,0.68
2020-10-18,22068.767,0.68
2020-10-19,22068.767,0.68
2020-10-20,22068.767,0.68
2020-10-21,22068.767,0.68
2020-10-22,22068.767,0.68
2020-10-23,22068.767,0.68
2020-10-24,22068.767,0.68
2020-10-25,22068.767,0.68
2020-10-26,22068.767,0.68
2020-10-27,22068.767,0.68
2020-10-28,22068.767,0.68
